Function,Iterations,Concatenations,OPS,Error,JVM,Computer
String Builder Non-Static,100000,2,392.694,992.611,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,2,61.328,15.265,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,4,76734993.91,27373756.28,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,4,7605681.06,759584.233,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,4,556061.539,984064.816,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,4,40970.61,84812.602,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,4,4319.576,7517.029,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100000,4,450.954,13.292,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,4,46.621,5.201,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,8,63000336.31,239164.062,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,8,6038762.571,196919.27,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,8,557579.475,1918.24,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,8,55610.003,815.076,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,8,5291.604,257.392,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100000,8,437.466,2.982,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,8,19.006,3.137,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,16,6709159.36,2524456.561,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,16,670082.004,203274.331,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,16,66535.623,22290.178,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,16,6313.469,1031.384,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,16,634.959,155.413,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100000,16,55.803,11.336,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,16,5.459,0.901,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,32,5495733.965,1061909.692,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,32,556342.883,113003.599,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,32,57940.898,19948.676,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,32,11870.085,4120.371,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,32,1202.341,214.229,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100000,32,86.935,19.155,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,32,8.392,2.816,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1,64,13023927.85,187416.462,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10,64,1298052.731,10172.594,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100,64,131098.624,1143.29,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000,64,12873.027,256.772,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,10000,64,1258.165,36.735,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,100000,64,105.159,3.878,temurin-20.0.2,M2 Macbook Air
String Builder Non-Static,1000000,64,10.249,0.274,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,1,73926336.47,308890.7,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10,1,8369952.554,32171.434,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,1,708267.532,4648.914,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,1,38908.107,3964.475,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,1,3437.179,1162.862,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,1,172.079,62.392,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,1,14.723,2.82,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,2,71847116.94,410339.586,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10,2,7962662.513,32128.777,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,2,680637.059,9095.964,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,2,38669.899,1559.294,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,2,2804.503,371.01,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,2,154.636,48.232,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,2,14.938,1.863,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,4,53929327.52,437935.695,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10,4,6659073.265,252323.566,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,4,468661.465,45474.791,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,4,24877.162,3116.778,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,4,3506.835,2861.484,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,4,409.545,2.463,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,4,46.994,0.588,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,8,32925364.65,1483288.894,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10,8,4899054.869,76899.469,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,8,400707.712,19602.741,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,8,18129.409,2424.223,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,8,3053.003,1010.764,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,8,318.248,27.472,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,8,22.097,1.591,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,16,5682363.796,1795443.579,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10,16,3416253.862,29460.504,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,16,254429.704,7004.637,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,16,27284.313,498.707,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,16,3147.412,12.584,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,16,286.699,8.596,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,16,22.259,1.382,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,32,10765451.88,710371.12,temurin-20.0.2,M2 Macbook Air
